time,x,y,computation_time
1746667085.4680455,3.224174948276479,1.202835554029909,18.341885
1746667085.480762,3.201687518000648,1.2018220337007306,31.058291
1746667085.5006895,3.1837653304411546,1.2021193667647905,50.985883
1746667085.5285013,3.185024335288532,1.1958150217799133,22.016203
1746667085.5478463,3.2052001680157436,1.194455418904509,41.361272
1746667085.5701582,3.21063867501825,1.1960283240382041,63.673168
1746667085.5842693,3.20877465338775,1.2010681009507993,8.883201
1746667085.6010895,3.207283383270592,1.192202493848967,25.703351
1746667085.617505,3.2017897131813404,1.1885153671659894,42.118875
1746667085.6341517,3.2116786580392205,1.1860372566772976,58.765545
1746667085.6581907,3.234366757234875,1.1861110308393992,16.788053
1746667085.6743834,3.246791419736689,1.182788800875853,32.980622
1746667085.690035,3.253943657575337,1.1818663787133654,48.632205
1746667085.7321284,3.2479639881026623,1.1813205878032011,30.105222
1746667085.7550623,3.24135875284022,1.1876687599711333,53.039292
1746667085.778368,3.236805298915685,1.1883723188202844,10.20624
1746667085.8047194,3.2320041245570894,1.1988656504803763,36.557526
1746667085.82283,3.2341534409840955,1.1890043339552754,54.668105
1746667085.8470998,3.2426065975816423,1.190832320175226,13.246158
1746667085.860385,3.2331839028490856,1.2090965462210483,26.531422
1746667085.8767655,3.2168484758521747,1.215184633372975,42.912032
1746667085.89312,3.2096857106106347,1.2223942641085996,59.266432
1746667085.9132497,3.20381092508529,1.2231935835047405,14.817624
1746667085.9379144,3.2062695000068975,1.2324432778361765,39.482271
1746667085.957512,3.195496098299642,1.2354326791473758,59.079768
1746667085.9734163,3.1944398279708754,1.2318047842156663,8.950373
1746667085.9973872,3.1999600459515682,1.2320712983475492,32.921387
1746667086.018245,3.1964723004128692,1.2376508959814925,53.779231
1746667086.0420022,3.206705989984045,1.2350105482186426,11.909839
1746667086.0611696,3.205321978167503,1.2299410046544919,31.077204
1746667086.0769277,3.2117695920357994,1.224686991062582,46.835256
1746667086.0946522,3.211599325445976,1.2196320094976476,64.559833
1746667086.1126437,3.2234407895096284,1.2178291929242957,11.827211
1746667086.144021,3.225252560773618,1.2204012186061453,43.204526
1746667086.159447,3.2216548908338454,1.2217156429758511,58.630338
1746667086.1748536,3.214730740132062,1.2217560435420676,7.781645
1746667086.1939814,3.20068467223155,1.2156353622052996,26.909456
1746667086.2063396,3.1957985893795477,1.2023447591841245,39.267733
1746667086.2436416,3.2043869662866387,1.1927583559544124,13.105896
1746667086.2559257,3.21389260597577,1.2000142808202563,25.390025
1746667086.2756734,3.228963647597596,1.2126804913739606,45.137705
1746667086.2927933,3.230120211578474,1.2140726626510394,62.257646
1746667086.3113518,3.2420747525712748,1.209634279911767,12.002036
1746667086.3494391,3.2375237877305127,1.2098830368851263,50.089457
1746667086.3740506,3.241792018393076,1.2072795071710996,15.765348
1746667086.3920736,3.233534173220942,1.2083233956030857,33.788275
1746667086.408431,3.2217366876354636,1.2108303732586718,50.145748
1746667086.42279,3.2152706952703256,1.217033610724302,64.504726
