timestamp_s,x,y
1746163299.888225317,5.549847336014232,-0.5711469874871209
1746163299.892224312,5.549847336014232,-0.5711469874871209
1746163299.896711826,5.524666135737756,-0.5585892358086978
1746163299.900261641,5.524666135737756,-0.5585892358086978
1746163299.904279232,5.524666135737756,-0.5585892358086978
1746163299.908224583,5.499331573234743,-0.5461805680931995
1746163299.912269115,5.499331573234743,-0.5461805680931995
1746163299.916676521,5.4738365107828715,-0.5339470100804522
1746163299.920277357,5.4738365107828715,-0.5339470100804522
1746163299.924292326,5.4738365107828715,-0.5339470100804522
1746163299.928251743,5.44819591549521,-0.5218686415428244
1746163299.932263374,5.44819591549521,-0.5218686415428244
1746163299.936881304,5.422401845418584,-0.5099734625115157
1746163299.940219641,5.422401845418584,-0.5099734625115157
1746163299.944287300,5.422401845418584,-0.5099734625115157
1746163299.948214054,5.3964682980488465,-0.49824216767214335
1746163299.952237606,5.3964682980488465,-0.49824216767214335
1746163299.956808805,5.370380090081038,-0.48669996745637867
1746163299.960267544,5.370380090081038,-0.48669996745637867
1746163299.964217186,5.370380090081038,-0.48669996745637867
1746163299.968240499,5.344143743267245,-0.47532429406766274
1746163299.972229004,5.344143743267245,-0.47532429406766274
1746163299.976774931,5.317752354869146,-0.4641438211914003
1746163299.980270147,5.317752354869146,-0.4641438211914003
1746163299.984266520,5.317752354869146,-0.4641438211914003
1746163300.008498669,5.264538996545652,-0.4423379144908629
1746163300.012251616,5.237723763156636,-0.43172062772999975
1746163300.016704559,5.2107676923394015,-0.42131529725126565
1746163300.020306826,5.2107676923394015,-0.42131529725126565
1746163300.024183512,5.2107676923394015,-0.42131529725126565
1746163300.028220654,5.183683972411073,-0.4111010848836821
1746163300.032277822,5.183683972411073,-0.4111010848836821
1746163300.036672354,5.156466969953705,-0.4011062237758978
1746163300.040264368,5.156466969953705,-0.4011062237758978
1746163300.044305563,5.156466969953705,-0.4011062237758978
1746163300.048215628,5.129129152714704,-0.3913091959686642
1746163300.052227259,5.129129152714704,-0.3913091959686642
1746163300.056733131,5.101664950819515,-0.3817379992354675
1746163300.060199022,5.101664950819515,-0.3817379992354675
1746163300.064352989,5.101664950819515,-0.3817379992354675
1746163300.068244934,5.074086395957807,-0.37237060897296165
1746163300.072254896,5.074086395957807,-0.37237060897296165
1746163300.076712370,5.046388275933642,-0.3632349237889821
1746163300.080215454,5.046388275933642,-0.3632349237889821
1746163300.084270954,5.046388275933642,-0.3632349237889821
1746163300.088199615,5.018582173669883,-0.3543084571032936
1746163300.092255116,5.018582173669883,-0.3543084571032936
1746163300.096872568,4.990669384281972,-0.3456210111162478
1746163300.100223064,4.990669384281972,-0.3456210111162478
1746163300.104287386,4.990669384281972,-0.3456210111162478
1746163300.108206272,4.962666929470398,-0.3371514184545572
1746163300.112259626,4.962666929470398,-0.3371514184545572
1746163300.116810560,4.934569727111642,-0.32892738239654934
1746163300.120237112,4.934569727111642,-0.32892738239654934
1746163300.124261618,4.934569727111642,-0.32892738239654934
1746163300.128277302,4.906387941747998,-0.320925278743425
1746163300.132293701,4.906387941747998,-0.320925278743425
1746163300.136689425,4.878116936295621,-0.3131727563134691
1746163300.140284300,4.878116936295621,-0.3131727563134691
1746163300.144283772,4.878116936295621,-0.3131727563134691
1746163300.148257017,4.849766457725096,-0.3056458309219318
1746163300.152331829,4.849766457725096,-0.3056458309219318
1746163300.156714678,4.82133232085958,-0.2983720811753064
1746163300.160283566,4.82133232085958,-0.2983720811753064
1746163300.164255142,4.82133232085958,-0.2983720811753064
1746163300.168299198,4.792880207175327,-0.2913410412033743
1746163300.172269106,4.792880207175327,-0.2913410412033743
1746163300.176671505,4.764452938165633,-0.2845925313919288
1746163300.180263042,4.764452938165633,-0.2845925313919288
1746163300.184273720,4.764452938165633,-0.2845925313919288
1746163300.188217163,4.736048133495004,-0.27807049391064725
1746163300.192345619,4.736048133495004,-0.27807049391064725
1746163300.196933508,4.707669354785424,-0.2717022548081405
1746163300.200267792,4.707669354785424,-0.2717022548081405
1746163300.204314232,4.707669354785424,-0.2717022548081405
1746163300.208248615,4.67932045020845,-0.2654211996426715
1746163300.216844797,4.67932045020845,-0.2654211996426715
1746163300.232276440,4.651006317686661,-0.259163452973484
1746163300.236735821,4.6228184291230345,-0.2529064636992121
1746163300.240252733,4.6228184291230345,-0.2529064636992121
1746163300.244236946,4.6228184291230345,-0.2529064636992121
1746163300.248223305,4.594815772801102,-0.24670004743742957
1746163300.252227545,4.594815772801102,-0.24670004743742957
1746163300.257080317,4.566967863728933,-0.24051319875846017
1746163300.260269880,4.566967863728933,-0.24051319875846017
1746163300.264286041,4.566967863728933,-0.24051319875846017
1746163300.268212795,4.539239690285459,-0.2343673359589537
1746163300.272298813,4.539239690285459,-0.2343673359589537
1746163300.276883125,4.511614738299239,-0.22822645855075013
1746163300.280204773,4.511614738299239,-0.22822645855075013
1746163300.284276009,4.511614738299239,-0.22822645855075013
1746163300.288279057,4.484068993334267,-0.22210935612769517
1746163300.292327642,4.484068993334267,-0.22210935612769517
1746163300.296950340,4.456594285030471,-0.21598051759192688
1746163300.300242901,4.456594285030471,-0.21598051759192688
1746163300.304268360,4.456594285030471,-0.21598051759192688
1746163300.308231115,4.42929602007045,-0.20988707232733958
1746163300.312256575,4.42929602007045,-0.20988707232733958
1746163300.316792727,4.402271014098901,-0.20381590680976325
1746163300.320300579,4.402271014098901,-0.20381590680976325
1746163300.324276209,4.402271014098901,-0.20381590680976325
1746163300.328231573,4.375463127079878,-0.1977814387431642
1746163300.332264423,4.375463127079878,-0.1977814387431642
1746163300.336687326,4.348838786587933,-0.1917425505619735
1746163300.340283394,4.348838786587933,-0.1917425505619735
