-1.2931631,1.4539831,2.6714831
-1.3089444,1.2616286,2.4993338
-1.2965512,1.0618335,2.3122194
-1.2543040,0.8698858,2.0871580
-1.1812799,0.6851420,1.9213882
-1.0798983,0.5157882,1.8391073
-0.9520023,0.3647591,1.7653243
-0.8011355,0.2377162,1.7015194
-0.6302534,0.1386024,1.6752424
-0.4445633,0.0715952,1.6910945
-0.2496601,0.0402021,1.7165724
-0.0525211,0.0467073,1.7533304
0.1392277,0.0910322,1.8109800
0.3202711,0.1694661,1.8939937
0.4875060,0.2744458,1.9887275
0.6392705,0.4003205,2.0985926
0.7755358,0.5440915,2.2167659
0.8952869,0.7017125,2.3469478
0.9985660,0.8716117,2.4830757
1.0838540,1.0510054,2.6294907
1.1502491,1.2386368,2.6773482
1.1951913,1.4307460,2.5825244
1.2155099,1.6285154,2.4911528
1.2118671,1.8186747,2.3626499
1.1885398,2.0132896,2.0880473
1.1448527,2.1989626,1.9377775
1.0674958,2.3894854,1.8188067
0.9611409,2.5533156,1.7505505
0.8218941,2.6971573,1.6902511
0.6575141,2.8066941,1.6959354
0.4751496,2.8807136,1.7036441
0.2816600,2.9190483,1.7331569
0.0844588,2.9226940,1.7662224
-0.1104183,2.8939301,1.8410814
-0.2992144,2.8351135,1.9180526
-0.4769798,2.7491751,2.0262614
-0.6407406,2.6389024,2.1358995
-0.7890032,2.5058184,2.2813157
-0.9166087,2.3571701,2.4285980
-1.0280758,2.1889681,2.6129527
-1.1176227,2.0159897,2.7772089
-1.1924129,1.8319307,2.8591512
-1.2513184,1.6478191,2.8953077
-1.2931631,1.4539831,2.6714831
