2.2363792,-1.5840304,1.7100864
2.2705211,-1.3901978,1.6419337
2.2632300,-1.1914534,1.6906736
2.2194730,-0.9947336,1.8124075
2.1456018,-0.8104393,1.9337768
2.0463249,-0.6365554,2.0583513
1.9285092,-0.4750872,2.1858533
1.7973101,-0.3233936,2.3543251
1.6585825,-0.1794855,2.4994499
1.5161048,-0.0395231,2.5696978
1.3725461,0.1007509,2.4625342
1.2363268,0.2415445,2.3043388
1.1036880,0.3903412,2.1881704
0.9855012,0.5319433,2.0685161
0.8710217,0.7134378,1.9092538
0.7934154,0.9026290,1.4833714
0.7689858,1.0974828,1.0574890
0.8429574,1.2766988,1.1973325
0.9903025,1.4120837,1.4254595
1.1689228,1.5126390,1.5708102
1.3525941,1.5719936,1.7021362
1.5503183,1.5984390,1.8819889
1.7496379,1.5986820,2.0608892
1.9481314,1.5811437,2.2376585
2.1447695,1.5514483,2.4154371
2.3412470,1.5134113,2.5939020
2.5352729,1.4702141,2.7608511
2.7300218,1.4226006,2.9244522
2.9222773,1.3720788,3.0698331
3.1149905,1.3178228,3.2100087
3.3058394,1.2600912,3.3340570
3.4958968,1.1978624,3.4484354
3.6839005,1.1307075,3.5475726
3.8700722,1.0575580,3.6092120
4.0529432,0.9779549,3.6367232
4.2332494,0.8903878,3.6048295
4.4075861,0.7953645,3.5444646
4.5790374,0.6897567,3.4971133
4.7414995,0.5761894,3.4526978
4.8986842,0.4508358,3.4143743
5.0459425,0.3159378,3.3895071
5.1809853,0.1725463,3.3765781
5.3066293,0.0165216,3.3624758
5.4194325,-0.1467444,3.3485560
5.5210418,-0.3179835,3.3351143
5.6109000,-0.4961949,3.3228321
5.6880405,-0.6792596,3.3132595
5.7529379,-0.8682433,3.3074286
5.8049936,-1.0614731,3.3067756
5.8439200,-1.2565214,3.3270036
5.8705840,-1.4547839,3.3629729
5.8855798,-1.6538626,3.4255773
5.8904442,-1.8533659,3.5052866
5.8867131,-2.0531764,3.5767003
5.8755466,-2.2523815,3.5531586
5.8570558,-2.4511570,3.4864491
5.8309913,-2.6489600,3.3794908
5.7967740,-2.8457136,3.2716042
5.7536939,-3.0405444,3.1657715
5.7007335,-3.2329404,3.0651066
5.6365911,-3.4221340,2.9751452
5.5602536,-3.6061250,2.8921229
5.4700174,-3.7844211,2.8269051
5.3652981,-3.9543356,2.7718881
5.2459460,-4.1134686,2.7251576
5.1108831,-4.2610142,2.6724983
4.9618351,-4.3935864,2.6127141
4.7998787,-4.5090181,2.5467566
4.6249586,-4.6058952,2.5472942
4.4405702,-4.6819582,2.5433584
4.2490937,-4.7362858,2.5432100
4.0521888,-4.7690847,2.5974322
3.8533420,-4.7831744,2.7235878
3.6544250,-4.7849193,2.8786639
3.4547808,-4.7795126,3.0310723
3.2575518,-4.7676393,3.1750734
3.0593729,-4.7492047,3.1988519
2.8602221,-4.7234431,3.0582264
2.6656520,-4.6901015,2.9180439
2.4673883,-4.6473401,2.7784948
2.2757445,-4.5968524,2.6454278
2.0840711,-4.5355751,2.5160056
1.8977993,-4.4631410,2.3997767
1.7169892,-4.3770351,2.2908756
1.5445678,-4.2753855,2.1971082
1.3836027,-4.1558873,2.1099318
1.2403237,-4.0186632,2.0297645
1.1165959,-3.8580892,1.9239871
1.0260445,-3.6822395,1.7925249
0.9740660,-3.4916207,1.5936779
0.9648961,-3.2934079,1.4846285
0.9941322,-3.0994208,1.4493390
1.0609243,-2.9150054,1.5392518
1.1644127,-2.7432921,1.6923615
1.2961995,-2.5901963,1.8722766
1.4437300,-2.4556517,2.0596514
1.6002608,-2.3301349,2.2278080
1.7573720,-2.2063696,2.3232180
1.9084600,-2.0753241,2.1544979
2.0451111,-1.9287923,2.0204423
2.1571856,-1.7662165,1.9393992
2.2363792,-1.5840304,1.7100864
