-6.9486791,-3.6938335,2.0333686
-6.9476748,-3.4941528,1.8965855
-6.9163198,-3.2974954,1.6933380
-6.8472747,-3.1110617,1.6211028
-6.7412990,-2.9425071,1.5905691
-6.6020502,-2.7997429,1.5959373
-6.4357686,-2.6881804,1.6510521
-6.2515569,-2.6101613,1.7902653
-6.0586139,-2.5648678,1.9180635
-5.8592393,-2.5487933,2.0347255
-5.6586773,-2.5589897,2.1376870
-5.4630779,-2.5909793,2.2518119
-5.2680787,-2.6414116,2.3712871
-5.0797178,-2.7050445,2.5047686
-4.8939189,-2.7797969,2.6417085
-4.7118726,-2.8626437,2.7829762
-4.5331562,-2.9516085,2.9216125
-4.3560198,-3.0456426,3.0585469
-4.1814311,-3.1424944,3.1819686
-4.0073689,-3.2420164,3.2992843
-3.8346946,-3.3427875,3.4033022
-3.6624094,-3.4447684,3.5017367
-3.4905354,-3.5475629,3.5122509
-3.3194945,-3.6511103,3.4814656
-3.1486344,-3.7564705,3.3982914
-2.9803728,-3.8640204,3.2864372
-2.8139912,-3.9771341,3.2111346
-2.6539492,-4.0956367,3.1566523
-2.4984851,-4.2240038,3.1122771
-2.3537737,-4.3585718,3.0722340
-2.2138791,-4.5057661,3.0023161
-2.0874657,-4.6576453,2.9196945
-1.9694800,-4.8195424,2.8036194
-1.8582413,-4.9877010,2.6505993
-1.7617105,-5.1492683,2.4581944
-1.6488452,-5.3149639,2.2169631
-1.5229944,-5.4560134,1.8759190
-1.3998980,-5.6224653,1.5199459
-1.3234726,-5.8244352,1.3530611
-1.3175954,-6.0334965,1.3743244
-1.3894257,-6.1999808,1.3955877
-1.5562440,-6.2850991,1.6832035
-1.7638741,-6.2987532,1.9794427
-1.9808201,-6.2875822,2.2179361
-2.1659780,-6.2737060,2.4261517
-2.3631798,-6.2600530,2.5903545
-2.5610461,-6.2439399,2.7423618
-2.7595866,-6.2203948,2.8837803
-2.9554808,-6.1898717,3.0179547
-3.1525310,-6.1521507,3.1491537
-3.3474964,-6.1083111,3.2761078
-3.5408354,-6.0591995,3.3992800
-3.7347862,-6.0049851,3.5205777
-3.9250541,-5.9475490,3.6364546
-4.1163097,-5.8860479,3.7499415
-4.3051800,-5.8219885,3.8532868
-4.4940328,-5.7549141,3.8796001
-4.6814585,-5.6854317,3.7623001
-4.8681767,-5.6131161,3.6432988
-5.0534347,-5.5379385,3.5226034
-5.2376798,-5.4592273,3.4007335
-5.4194620,-5.3768546,3.2782270
-5.6000911,-5.2891758,3.1560693
-5.7759905,-5.1966228,3.0340249
-5.9504083,-5.0957434,2.9145509
-6.1178599,-4.9875658,2.7964041
-6.2792715,-4.8689691,2.6818369
-6.4317903,-4.7385593,2.5723984
-6.5700240,-4.5972633,2.4667620
-6.6949483,-4.4385198,2.3740456
-6.7979457,-4.2663393,2.2894626
-6.8749655,-4.0831241,2.2109886
-6.9246382,-3.8915935,2.1370344
-6.9486791,-3.6938335,2.0333686
