x,y,position_error
2.8779349,0.2717569,
3.0349131,0.1573374,2.2698778573332987
3.2086497,0.0615497,2.32349586309607
3.3910677,-0.0158821,2.3411085249436194
3.5779939,-0.0786903,2.3363358288336635
3.7704122,-0.1312353,2.3247205660236743
3.9629961,-0.1751656,2.3092068664579615
4.1577871,-0.2136191,2.2928427486228222
4.3534892,-0.2485521,2.2798010837109324
4.5474835,-0.2815341,2.2699310633721814
4.7452019,-0.315353,2.2595623128021334
4.9378745,-0.3498557,2.2496048711291308
5.133032,-0.388477,2.241179732317334
5.3234848,-0.4336814,2.2380365345555018
5.5127883,-0.4896029,2.2432659071714562
5.6966031,-0.5568919,2.2602768677610543
5.8779837,-0.6399534,2.293085671742295
6.0485577,-0.7362312,2.3383665008883545
6.2159899,-0.8454919,2.389864221849541
6.3782823,-0.9597357,2.4384071755747683
6.5427092,-1.0723869,2.4739733770667574
6.7118688,-1.1750994,2.4876542990044017
6.8904369,-1.2627271,2.4754413875687575
7.0726354,-1.3296259,2.433776197480279
7.2650488,-1.3796126,2.352310549772612
7.4587417,-1.4120897,2.2343826070877078
7.6546603,-1.4288611,2.0817890963817005
7.8524332,-1.4296261,1.8991726143267678
8.0478561,-1.4126592,1.6825187781607
8.2431882,-1.3743594,1.4190661692841124
8.4299074,-1.3086244,1.114790449007151
8.5984449,-1.2053411,0.768960168796238
8.7381605,-1.0663547,0.3930029163396192
8.8431228,-0.8992549,0.04885958171418453
8.9124761,-0.7141933,0.3978010922599218
8.9469,-0.5197069,0.7719820439000632
8.9481882,-0.3220739,1.1198567966153286
8.9191845,-0.1262133,1.4336547951151697
8.8634693,0.0628624,1.7130956902660266
8.7837683,0.243546,1.9536674579801292
8.6823334,0.4126176,2.151009531987713
8.5614146,0.5679852,2.3099681676437376
8.422684,0.7095129,2.431296063111668
8.2714435,0.8342331,2.5130650831418273
8.1059969,0.9429114,2.5555496443763555
7.9307261,1.035638,2.5601448072878923
7.7514481,1.1173674,2.540199867591531
7.5675244,1.1935739,2.5133923993654816
7.3843363,1.2649474,2.4837733451672435
7.1980604,1.3330582,2.450861021009579
7.0110945,1.3968997,2.4149802639213966
6.8225462,1.45717,2.376904706704087
6.6329031,1.5140195,2.342908921288785
6.4425109,1.5675848,2.3160103264814804
6.2511015,1.6181928,2.2969691287055816
6.0591006,1.6659793,2.2861823007814173
5.8666031,1.7111531,2.2838494902342594
5.6732192,1.7540106,2.2845673435898957
5.4800155,1.7945329,2.2827503515331213
5.2855793,1.8331764,2.2772983691780473
5.0916015,1.8696081,2.2675540958554814
4.8965848,1.903964,2.253111635388792
4.7015792,1.9356433,2.233885812421516
4.5058477,1.964194,2.2095409400100694
4.309413,1.9888014,2.1583919402176845
4.1129297,2.0080692,2.075897840137222
3.9147585,2.0202231,1.9603920804320276
3.7182185,2.022712,1.8243370801446845
3.5193554,2.0125853,1.6469570266229598
3.3238675,1.9866172,1.413038985178078
3.1318389,1.9408682,1.1459067738803652
2.9469159,1.8712915,0.8278315541850088
2.7748766,1.7762051,
2.6212531,1.6529644,
2.498475,1.498776,
2.4245135,1.3157089,
2.4150575,1.1185359,
2.4523652,0.9218565,
2.5216799,0.7390416,
2.6178282,0.5671717,
2.7358492,0.4116774,
2.8779349,0.2717569,
