x_ref,y_ref,x_actual_nearest,y_actual_nearest,position_error
2.8779349,0.2717569,2.9122342399862786,0.3158338176466851,0.055849972181971456
3.0349131,0.1573374,3.066849986429049,0.20673874492587924,0.058825654227281525
3.2086497,0.0615497,3.23423771253341,0.11678006412932602,0.06086985713198184
3.3910677,-0.0158821,3.4123361445891067,0.04468783538736848,0.06419551236706429
3.5779939,-0.0786903,3.6011162270095483,-0.011720371481331135,0.07084922958037088
3.7704122,-0.1312353,3.787463811937716,-0.061095353844626145,0.07218288935996676
3.9629961,-0.1751656,3.978138594250886,-0.1039031065976092,0.07285353867907796
4.1577871,-0.2136191,4.168368120966129,-0.1444081341066337,0.07001511125877304
4.3534892,-0.2485521,4.364366074904321,-0.18616688113506136,0.06332631317636095
4.5474835,-0.2815341,4.562971902977286,-0.22942175673994775,0.05436531014204101
4.7452019,-0.315353,4.754061863679537,-0.27518127190566,0.04113716925711229
4.9378745,-0.3498557,4.937711891827768,-0.3271182918510273,0.022737989593423734
5.133032,-0.388477,5.127454519169368,-0.39123454489305615,0.006221924642205696
5.3234848,-0.4336814,5.313596741382559,-0.4641500463602344,0.032032984785170575
5.5127883,-0.4896029,5.49290216400517,-0.543556816067559,0.05750203008442468
5.6966031,-0.5568919,5.671039273130305,-0.6312524060962611,0.0786320170866537
5.8779837,-0.6399534,5.840178493571486,-0.7223967084849829,0.09069803055773928
6.0485577,-0.7362312,6.007100085361757,-0.8149908289401884,0.08900456708669059
6.2159899,-0.8454919,6.172784942798753,-0.9081130371392657,0.07607940025641861
6.3782823,-0.9597357,6.344433595302737,-1.007654682745694,0.05866825135509533
6.5427092,-1.0723869,6.519533476177674,-1.1088581816859815,0.04321190301880877
6.7118688,-1.1750994,6.697990142584529,-1.2055368307433154,0.0334522693088249
6.8904369,-1.2627271,6.878018797906342,-1.2867786417862648,0.027068171750322556
7.0726354,-1.3296259,7.067139183787923,-1.3518698621570095,0.022912927466659086
7.2650488,-1.3796126,7.257975607424776,-1.3992416601538615,0.020864564594788738
7.4587417,-1.4120897,7.453618697818427,-1.4309282386102218,0.019522696748175604
7.6546603,-1.4288611,7.654402003471035,-1.4453708151250684,0.016511735541964896
7.8524332,-1.4296261,7.852686609700379,-1.4383192089790924,0.008696801722393385
8.0478561,-1.4126592,8.051187751766163,-1.405366153639201,0.008018006529788705
8.2431882,-1.3743594,8.239625101760787,-1.3487436855546724,0.025862337396431307
8.4299074,-1.3086244,8.411664094373522,-1.268887006468144,0.04372503453270962
8.5984449,-1.2053411,8.564476247888242,-1.1621795062518345,0.054925335694662195
8.7381605,-1.0663547,8.692079779913406,-1.0290089715720028,0.0593138786079333
8.8431228,-0.8992549,8.795826390067939,-0.8745801853702744,0.05334596455703045
8.9124761,-0.7141933,8.870879961802133,-0.7015155474950877,0.04348521727612453
8.9469,-0.5197069,8.911956453222878,-0.5166318871784917,0.035078585564662104
8.9481882,-0.3220739,8.920238723799583,-0.3233006012640498,0.02797638318062068
8.9191845,-0.1262133,8.896008749016618,-0.13263936843055835,0.0240501515404366
8.8634693,0.0628624,8.842242615289614,0.055022146868657376,0.02262833871404808
8.7837683,0.243546,8.760046423062638,0.23249815176827385,0.026168347215340126
8.6823334,0.4126176,8.653145240621054,0.3980885611479118,0.032604319006784836
8.5614146,0.5679852,8.534442687626955,0.5456683720736673,0.03500749727919464
8.422684,0.7095129,8.399010999092187,0.6826795192630607,0.035783254376242246
8.2714435,0.8342331,8.252251774113791,0.8046974180934622,0.03522327140081641
8.1059969,0.9429114,8.093030309329418,0.9185431619643961,0.02760332404943755
7.9307261,1.035638,7.92196060617003,1.0164439737019766,0.02110081817400599
7.7514481,1.1173674,7.746367789142447,1.103430885467196,0.014833610340454379
7.5675244,1.1935739,7.562788386435441,1.1844146893395757,0.010311205768760257
7.3843363,1.2649474,7.378026039716021,1.2565426578131724,0.010509951288117684
7.1980604,1.3330582,7.19575597452513,1.3232399520650644,0.010085056731674686
7.0110945,1.3968997,7.008687381935454,1.3851646974317955,0.011979336486317998
6.8225462,1.45717,6.816804488759646,1.4449572342250787,0.013495143416825542
6.6329031,1.5140195,6.622180423217874,1.501211261533693,0.016704094407771045
6.4425109,1.5675848,6.4381150565453815,1.5532496645319567,0.014993983745644951
6.2511015,1.6181928,6.248703595676427,1.6029364065765386,0.015443687559532165
6.0591006,1.6659793,6.056963884278184,1.6511759242597526,0.014956787334946101
5.8666031,1.7111531,5.864631898664463,1.698007393834536,0.013292675625845319
5.6732192,1.7540106,5.6723913828345776,1.7437968845220866,0.010247207674441646
5.4800155,1.7945329,5.479370296173575,1.7906601686918462,0.003926109494498291
5.2855793,1.8331764,5.28472798606321,1.8366149473221682,0.0035423640560738796
5.0916015,1.8696081,5.095492863142532,1.8817440456704209,0.012744562935717308
4.8965848,1.903964,4.902786333558402,1.9263745337292921,0.023252764147681976
4.7015792,1.9356433,4.70424144648762,1.971697089876342,0.036151947676553525
4.5058477,1.964194,4.511675891556364,2.01294358404551,0.04909673880644135
4.309413,1.9888014,4.312262628270466,2.0536269294991816,0.06488813185883142
4.1129297,2.0080692,4.11703698945117,2.0874160449394332,0.07945307815609255
3.9147585,2.0202231,3.916926947027924,2.111011442543607,0.09081423514145928
3.7182185,2.022712,3.713740219107239,2.1214458489185968,0.09883535765117052
3.5193554,2.0125853,3.5111534051328874,2.1150562711591165,0.10279869965175935
3.3238675,1.9866172,3.3052315978441222,2.087888627970445,0.10297183582094899
3.1318389,1.9408682,3.105800332869305,2.0282528667607145,0.0911816152692024
2.9469159,1.8712915,2.9189541580820006,1.9326173394787998,0.06739968545081132
2.7748766,1.7762051,2.7548204119402486,1.8080121919628926,0.037602417191239315
2.6212531,1.6529644,2.6145923927738663,1.6585604221401662,0.00869945311761044
2.498475,1.498776,2.518152032011694,1.4877053130371656,0.0225775485520085
2.4245135,1.3157089,2.462663700781301,1.3088161214617886,0.03876787607840276
2.4150575,1.1185359,2.4475152589104416,1.1187037726681655,0.03245819302920397
2.4523652,0.9218565,2.4786388294892916,0.9309415284037622,0.027800024238078255
2.5216799,0.7390416,2.546150587467849,0.751856508880905,0.027623114139702556
2.6178282,0.5671717,2.6435575208935855,0.5865587578132161,0.032215771980476975
2.7358492,0.4116774,2.76823898038747,0.4458836043795079,0.0471079854334825
2.8779349,0.2717569,2.9122342399862786,0.3158338176466851,0.055849972181971456
