time,x,y,computation_time_ms
1747274179.7794292,4.3913684581110335,-4.769841564847007,5.344629287719727
1747274179.7949367,4.645668477814578,-5.188370728580138,4.207849502563477
1747274179.8133872,4.6328776995925915,-5.170176983355306,3.9446353912353516
1747274179.828283,4.627157954027706,-5.150533441757619,4.316091537475586
1747274179.8521917,4.6362260915161135,-5.11810730722828,3.8330554962158203
1747274179.8734086,4.641204717197676,-5.091950795594886,3.8073062896728516
1747274179.8922238,4.641308614621736,-5.069634269479934,3.6122798919677734
1747274179.9120886,4.668127925350873,-5.040809215346423,3.5202503204345703
1747274179.932655,4.681339677619344,-5.021542023814818,4.021644592285156
1747274179.9524536,4.689726776045748,-4.9998189534246835,3.743410110473633
1747274179.9736087,4.7098368120512255,-4.9787061775414445,3.6613941192626953
1747274179.9904187,4.72071326498918,-4.964628076153464,4.142284393310547
1747274180.0151887,4.7252936932220955,-4.950143684684658,7.671594619750977
1747274180.0323884,4.7256891534036,-4.927277471406616,3.6783218383789062
1747274180.0472274,4.724503364705688,-4.914985891395587,3.684520721435547
1747274180.079174,4.728335629622965,-4.8934731412715875,4.507303237915039
1747274180.098133,4.728859060012906,-4.874587524813934,3.7698745727539062
1747274180.1141791,4.729561355382292,-4.866182484930815,4.0283203125
1747274180.13655,4.734170053727036,-4.856816236990515,7.449150085449219
1747274180.1533039,4.734323669833073,-4.846124417351289,3.5796165466308594
1747274180.1756773,4.737508772396785,-4.8338879375216175,3.4492015838623047
1747274180.19295,4.736272789305821,-4.821850923108285,3.635883331298828
1747274180.209909,4.738229360751286,-4.813410873486726,3.964662551879883
1747274180.2376304,4.739189095490145,-4.800325587793636,7.797956466674805
1747274180.2535017,4.737952303776298,-4.797752580529235,3.4418106079101562
1747274180.2720816,4.738856374248282,-4.797294679464707,3.3855438232421875
1747274180.2935386,4.73804873226707,-4.7969142840565695,3.7796497344970703
1747274180.3121438,4.74050207968355,-4.793955940131667,3.4232139587402344
1747274180.3324287,4.741936048891596,-4.787950315408952,3.517627716064453
1747274180.3479798,4.740875242419808,-4.785095564185946,3.695249557495117
1747274180.3720763,4.737576753508304,-4.784197280991276,3.470182418823242
1747274180.390055,4.7374990253141105,-4.789252516105172,3.852367401123047
1747274180.413491,4.735322932001595,-4.79032446820992,3.766775131225586
1747274180.4354439,4.733882581592614,-4.789759587118351,5.792140960693359
1747274180.453325,4.734221254576954,-4.793336392860433,4.32133674621582
1747274180.4758978,4.735134435743987,-4.796304592673558,6.172895431518555
1747274180.4973485,4.737924573056617,-4.797462564766681,4.262685775756836
1747274180.5139937,4.740207769216531,-4.795463777851169,3.571033477783203
1747274180.532373,4.742000072174568,-4.798215647397063,3.579854965209961
1747274180.5528023,4.743231621952753,-4.796723207042004,3.719329833984375
1747274180.572921,4.742666282814502,-4.7979476988310354,3.815889358520508
1747274180.5924604,4.7410583724466395,-4.80218196371747,3.576993942260742
