time,x,y,computation_time_ms
1747273094.7877684,3.009846737309029,-6.911310452533364,25.664091110229492
1747273094.8527153,2.974616431237262,-7.000992093673984,42.603492736816406
1747273094.9116547,2.92083735640368,-7.091183104814979,34.183502197265625
1747273094.950441,2.8527437002907483,-7.1970792874323966,15.283346176147461
1747273094.9924936,2.804533850717053,-7.236475977963414,27.769088745117188
1747273095.0674393,2.6727785437999176,-7.337278604826763,50.12845993041992
1747273095.1322398,2.5459468211862246,-7.440734770242254,29.696941375732422
1747273095.1953418,2.4611549000374318,-7.497588023039464,34.49583053588867
1747273095.2526293,2.366513423591239,-7.547633741934283,35.93134880065918
1747273095.2799737,2.3269768116460634,-7.568533217792705,13.562440872192383
1747273095.3179688,2.2505595038901305,-7.598355782443178,27.849912643432617
1747273095.3807986,2.174126367322871,-7.616265258833891,20.12801170349121
1747273095.432736,2.1351284192386615,-7.622481663569941,41.922807693481445
1747273095.5019426,2.0180658163926126,-7.62722158738079,33.32638740539551
1747273095.5523949,1.9539936891942369,-7.618967821676717,28.647184371948242
1747273095.5957434,1.8743940415361549,-7.607943908851386,25.281667709350586
1747273095.6241388,1.8051071713065214,-7.587586735508904,14.280557632446289
1747273095.649747,1.7758301967666297,-7.565823175157972,12.669563293457031
1747273095.7085693,1.7188540911989951,-7.537159219718262,26.980876922607422
1747273095.739721,1.6255836333711546,-7.496507856458085,13.94963264465332
1747273095.7969866,1.5621020017562368,-7.448541710802156,20.60079574584961
1747273095.837175,1.5194671776919333,-7.405913968755009,14.679431915283203
1747273095.8689675,1.467230250941871,-7.346568577180134,13.61703872680664
1747273095.947145,1.3808303545823084,-7.266007277873215,29.157638549804688
1747273095.9831214,1.320764518517495,-7.200319012514451,21.57878875732422
1747273096.0620477,1.2229853430597482,-7.114815380162752,44.74639892578125
1747273096.118895,1.1006468651942638,-6.988934725619172,29.723167419433594
1747273096.171972,1.0100614132449364,-6.926875276189104,26.369571685791016
1747273096.2376502,0.8759228604862535,-6.851234621325325,55.48667907714844
1747273096.2807345,0.6592709068040722,-6.724917079835923,16.875028610229492
1747273096.3324876,0.6221953420981644,-6.700419984272423,42.33598709106445
1747273096.397664,0.45521557828256026,-6.667311888692124,36.026954650878906
1747273096.4593897,0.3005064261859629,-6.6493625782799555,37.05787658691406
1747273096.52977,0.0749230930214977,-6.646866725825303,19.097566604614258
1747273096.5597305,-0.02710807076213091,-6.668940120696987,15.36107063293457
1747273096.599231,-0.11659497236080721,-6.7019384112378795,12.765645980834961
