time,x,y,computation_time_ms
1747537334.7358413,0.6312993180765465,0.1715297160970911,9.622335433959961
1747537334.7541697,0.6628886916600105,0.17151913279406267,6.984233856201172
1747537334.7696102,0.7979537869616766,0.15871007572439505,5.2738189697265625
1747537334.785972,0.8560219712934412,0.1522706013276259,5.82432746887207
1747537334.8054137,0.9016345977239769,0.14457184907106413,5.696296691894531
1747537334.8266218,0.9681840344299545,0.1263538533715109,5.223751068115234
1747537334.841847,1.0300926714525143,0.10509961113820669,5.126714706420898
1747537334.8602638,1.1116464401134734,0.08675745179233277,5.225896835327148
1747537334.8757436,1.1775719444740673,0.06872947501953232,5.143404006958008
1747537334.8941953,1.2385509858070758,0.03590828947905733,6.666421890258789
1747537334.9133265,1.2733840727247792,0.010739636939774942,5.506753921508789
1747537334.934443,1.2934888831176548,-0.008580702304875,6.488800048828125
1747537334.953432,1.3372263354371556,-0.03752292263660593,5.40471076965332
1747537334.9789603,1.3744375696623232,-0.06487799614898494,7.373809814453125
1747537335.0029826,1.415612185078322,-0.08396310729111935,7.329225540161133
1747537335.0356164,1.4637202861841732,-0.1300218120281525,5.649805068969727
1747537335.0580134,1.5455931856329392,-0.19796011660069013,7.7495574951171875
1747537335.0778432,1.5747214962982627,-0.2191611086774326,6.067752838134766
1747537335.102621,1.6411642837297977,-0.26357051469216153,9.397029876708984
1747537335.1192498,1.676188427882079,-0.287567900155848,6.996631622314453
1747537335.1379092,1.706341773524215,-0.308788774092311,6.769895553588867
1747537335.1557934,1.7629183762556377,-0.3525332942066406,5.412817001342773
1747537335.1734354,1.8163624404747116,-0.3835264833358873,5.495786666870117
1747537335.1989558,1.8691321810059478,-0.4181345376378312,5.568981170654297
1747537335.2217665,1.8970274122864441,-0.437025993383667,7.462263107299805
1747537335.2473543,1.9296348554759983,-0.4556368339888035,5.742073059082031
1747537335.2628005,1.9555437728190128,-0.46768535412968126,5.289316177368164
1747537335.2842677,2.009510101433859,-0.5036590349108231,6.850481033325195
1747537335.3056152,2.0467289906158372,-0.5384247651439504,7.3871612548828125
