time,x,y,computation_time_ms
1747535016.8117354,0.5759387589274876,0.24569395042484918,7.1563720703125
1747535016.8475847,0.8215922710186827,0.2841339752598849,11.645078659057617
1747535016.8915184,0.9655036415487024,0.30975769940201503,7.9345703125
1747535016.926172,1.115614493570485,0.31163507907084037,10.864496231079102
1747535016.9469593,1.1672712485605274,0.3086346586121369,7.953643798828125
1747535016.9672906,1.2194707971917076,0.31012643053936195,6.419897079467773
1747535016.9921,1.3267403901205364,0.28841848444666623,5.130290985107422
1747535017.009645,1.4167324438118214,0.27891173240097433,4.852771759033203
1747535017.0340612,1.4983812037791358,0.2759737672536651,6.678581237792969
1747535017.0716786,1.5620837805283276,0.240753766265719,23.224830627441406
1747535017.1015038,1.689864288569416,0.16680364436452674,8.844137191772461
1747535017.1459131,1.7942183633480928,0.07417897681770455,7.709264755249023
1747535017.172802,1.84600681868441,0.04174179765983101,6.7615509033203125
1747535017.1984515,1.9398508263192449,-0.022569694501148672,6.855010986328125
1747535017.2234,2.0088528564778794,-0.04572057534725105,7.268428802490234
1747535017.2390106,2.072774641149074,-0.06979269982555293,4.8542022705078125
1747535017.2584941,2.1259700732502087,-0.10044512574708339,5.467414855957031
1747535017.27894,2.1531438386518564,-0.1579827963039752,6.056547164916992
1747535017.300725,2.173484804429068,-0.19707806817170526,6.844997406005859
1747535017.3181283,2.1883386665326308,-0.22038579351372664,6.779909133911133
1747535017.3340352,2.1787829749700998,-0.26420910044226137,5.301952362060547
1747535017.3601778,2.1857360550484533,-0.3023888397746071,6.949901580810547
1747535017.3851974,2.1897472243376583,-0.32429361918987065,8.585929870605469
1747535017.4041147,2.231067810112626,-0.3612998910403277,5.279779434204102
1747535017.4226687,2.272656972231777,-0.3976636948025256,5.994558334350586
1747535017.4435954,2.3137693123719885,-0.435131600633051,9.236812591552734
1747535017.474706,2.337010914126202,-0.4884300102740688,6.729602813720703
1747535017.5001087,2.382573659507602,-0.552515613592441,8.066177368164062
1747535017.518747,2.4131953755094186,-0.5894603349346843,6.237030029296875
1747535017.535082,2.4303338774375702,-0.6175065337488579,5.677938461303711
1747535017.558309,2.451564619676293,-0.6539428259589279,5.838155746459961
1747535017.5792036,2.464780692890728,-0.6738502621546187,5.883455276489258
1747535017.5966547,2.4837017970021678,-0.7035338386539286,6.145000457763672
1747535017.6201751,2.541581842065363,-0.7492952903046424,6.332159042358398
1747535017.6365495,2.642095280540459,-0.7979786711443979,5.815029144287109
1747535017.6546302,2.7036058528090594,-0.859292744869538,6.082773208618164
1747535017.6802094,2.719591452667375,-0.9091838077507256,7.609844207763672
1747535017.7017949,2.7408609602351164,-0.9666121435010374,6.582975387573242
1747535017.7190263,2.7484832946665128,-0.9944045299715913,6.807565689086914
1747535017.7484114,2.7619039337425875,-1.0450978454256599,7.586002349853516
1747535017.7776926,2.760457873421178,-1.064209863734396,9.260177612304688
1747535017.8033364,2.754871791999563,-1.1436786763364908,7.155418395996094
1747535017.8239012,2.7407621967909193,-1.1886593225597883,5.68079948425293
1747535017.839521,2.753572055774281,-1.2316197361155201,5.200862884521484
1747535017.8555129,2.810545841148135,-1.2939735536986408,4.970073699951172
1747535017.8784876,2.843529059516654,-1.3585911331220322,8.058547973632812
1747535017.902419,2.8621805562012566,-1.4110325513824653,8.963584899902344
1747535017.9258611,2.879935803777325,-1.463307781680104,7.1125030517578125
1747535017.9427679,2.8931017553592264,-1.5118531516407818,4.992008209228516
1747535017.958334,2.8989244706209885,-1.5411849192233855,5.2738189697265625
1747535017.9795322,2.9056373800572546,-1.5778350236053313,5.592823028564453
1747535017.9979477,2.9297621930909785,-1.6447492968661774,5.578041076660156
1747535018.016165,2.934712668398533,-1.6813342186846114,4.611968994140625
1747535018.0384526,2.9433980805221194,-1.7375069696533718,5.513906478881836
1747535018.2049053,3.0134994377433997,-2.118261394825147,5.814790725708008
1747535018.2212236,3.0004753571273772,-2.1426429685863435,5.601406097412109
1747535018.2419167,2.9922340389096407,-2.167133620115726,5.592584609985352
1747535018.2588532,2.9616755482870007,-2.2292717737858783,4.956960678100586
1747535018.275422,2.943018444726448,-2.2803229955844997,4.642009735107422
1747535018.2942102,2.9304644134141657,-2.3169396120320838,4.835844039916992
1747535018.3129163,2.922369288303676,-2.3831316003963794,4.848718643188477
1747535018.3333366,2.9061832910080345,-2.4342494595390405,4.8503875732421875
1747535018.357826,2.8906337396098487,-2.487706161372628,5.534172058105469
1747535018.3780396,2.8780860037311156,-2.543478572233488,5.464792251586914
1747535018.3975284,2.8688177415176765,-2.5883869949149827,5.059003829956055
1747535018.4165008,2.863949352825348,-2.618259323355627,6.1187744140625
1747535018.4375584,2.850948458623347,-2.6580476269272655,6.345272064208984
1747535018.4573426,2.8279054220255824,-2.7135937463907807,5.310297012329102
1747535018.4762642,2.814778782568034,-2.761544527346734,7.205724716186523
1747535018.4939687,2.8007701789988837,-2.8030630454597545,5.04612922668457
1747535018.514763,2.765864161450194,-2.879333658755367,5.594968795776367
1747535018.5344715,2.751786945529346,-2.9330722738957977,6.676197052001953
1747535018.5549119,2.741708017991833,-2.9767387111113868,5.206823348999023
1747535018.5740201,2.740150744083795,-3.056607310564699,5.337715148925781
1747535018.6002963,2.741285466026456,-3.131077324407926,5.777835845947266
1747535018.617352,2.7405808936601077,-3.1633316615579106,6.140708923339844
1747535018.6379015,2.750488332855372,-3.2560784658518687,5.323648452758789
1747535018.6583145,2.765406038927195,-3.324705435866591,5.362987518310547
1747535018.678369,2.779686011446811,-3.3753551302729528,5.269050598144531
1747535018.7012444,2.786362464537046,-3.4087993112422983,6.478548049926758
1747535018.7186723,2.801710019222188,-3.460707889220179,5.369663238525391
1747535018.7382686,2.82163984652801,-3.5152490362517876,8.333921432495117
1747535018.7541907,2.844203846834179,-3.56400196669366,5.014657974243164
1747535018.7731574,2.8608498212495754,-3.643227211072238,4.860162734985352
