-0.9315731,-1.5512609,1.7347753
-0.9336324,-1.7327555,1.7279276
-0.8882077,-1.9373352,2.2460164
-0.7959666,-2.1053784,2.6011990
-0.6584570,-2.2514170,2.8507952
-0.4912561,-2.3521739,2.8683646
-0.3049313,-2.4114351,3.0025006
-0.1111025,-2.4380782,3.2427489
0.0862295,-2.4488056,3.5376474
0.2823789,-2.4538944,3.8077190
0.4796927,-2.4565708,4.0579389
0.6761325,-2.4578271,4.2917952
0.8732600,-2.4566159,4.2745763
1.0700163,-2.4506136,3.8474607
1.2660265,-2.4355289,3.4484059
1.4612223,-2.4038246,3.2076575
1.6456455,-2.3434397,3.1590806
1.8142610,-2.2437010,3.1467084
1.9550675,-2.1065789,3.1342873
2.0621434,-1.9396585,3.1547665
2.1348502,-1.7547968,3.2896440
2.1736474,-1.5612199,3.4008832
2.1869849,-1.3702325,3.4822489
2.1760680,-1.1793549,3.3038815
2.1370679,-0.9868039,3.2440569
2.0600696,-0.8067994,3.2262469
1.9423795,-0.6459908,3.2136117
1.7979322,-0.5186035,3.2009265
1.6286928,-0.4125303,3.4014280
1.4533415,-0.3297323,3.6789228
1.2660852,-0.2626512,3.9383010
1.0790016,-0.2126737,4.1797595
0.8833932,-0.1757955,4.4062592
0.6904386,-0.1530986,4.6064595
0.4929734,-0.1434019,4.3881756
0.2955776,-0.1476102,4.1388942
0.0997740,-0.1675632,3.9091978
-0.0935241,-0.2067527,3.7098226
-0.2808103,-0.2690468,3.5594821
-0.4542525,-0.3567113,3.4866435
-0.6128220,-0.4750879,3.4179669
-0.7445662,-0.6184103,3.3990165
-0.8478812,-0.7885527,3.3849151
-0.9170939,-0.9703966,3.3168419
-0.9567721,-1.1749577,3.1806565
-0.9614673,-1.3583326,3.1681998
-0.9315731,-1.5512609,1.7347753
