# x_m,y_m,w_tr_right_m,w_tr_left_m
1.5000,-0.4400,0.4171,0.4171
1.4500,-0.4400,0.4076,0.4076
1.4000,-0.4400,0.4019,0.4019
1.3500,-0.4400,0.4000,0.4000
1.3000,-0.4400,0.4000,0.4000
1.2500,-0.4400,0.4000,0.4000
1.2000,-0.4400,0.4000,0.4000
1.1500,-0.3900,0.4500,0.4500
1.1000,-0.3900,0.4500,0.4500
1.0500,-0.3400,0.5000,0.5000
1.0000,-0.2900,0.5500,0.5500
0.9500,-0.2900,0.5516,0.5516
0.9000,-0.2400,0.5578,0.5578
0.8500,-0.2400,0.5746,0.5746
0.8000,-0.1900,0.5406,0.5406
0.7500,-0.1900,0.5578,0.5578
0.7000,-0.1400,0.5326,0.5326
0.6500,-0.1400,0.5562,0.5562
0.6000,-0.1400,0.5562,0.5562
0.5500,-0.1400,0.5326,0.5326
0.5000,-0.1400,0.5116,0.5116
0.4500,-0.1400,0.4882,0.4882
0.4000,-0.1400,0.4659,0.4659
0.3500,-0.1400,0.4464,0.4464
0.3000,-0.1400,0.4301,0.4301
0.2500,-0.1400,0.4171,0.4171
0.2000,-0.1400,0.4076,0.4076
0.1500,-0.1400,0.4019,0.4019
0.1000,-0.1400,0.4000,0.4000
0.0500,-0.1400,0.4000,0.4000
0.0000,-0.1900,0.3500,0.3500
-0.0500,-0.1900,0.3521,0.3521
-0.1000,-0.1900,0.3500,0.3500
-0.1500,-0.1900,0.3521,0.3521
-0.2000,-0.1900,0.3583,0.3583
-0.2500,-0.1900,0.3685,0.3685
-0.3000,-0.2400,0.3352,0.3352
-0.3500,-0.2400,0.3542,0.3542
-0.4000,-0.2400,0.3685,0.3685
-0.4500,-0.2400,0.3825,0.3825
-0.5000,-0.2400,0.4000,0.4000
-0.5500,-0.2400,0.4208,0.4208
-0.6000,-0.2400,0.4000,0.4000
-0.6500,-0.2400,0.3765,0.3765
-0.7000,-0.2900,0.4000,0.4000
-0.7500,-0.2900,0.3825,0.3825
-0.8000,-0.2900,0.3685,0.3685
-0.8500,-0.3400,0.4076,0.4076
-0.9000,-0.3900,0.4518,0.4518
-0.9500,-0.3900,0.4500,0.4500
-1.0000,-0.3900,0.4500,0.4500
-1.0500,-0.4400,0.4933,0.4933
-1.1000,-0.4900,0.5262,0.5262
-1.1500,-0.5400,0.5639,0.5639
-1.1500,-0.5900,0.5822,0.5822
-1.1500,-0.6400,0.5562,0.5562
-1.2000,-0.6900,0.5776,0.5776
