# x_m,y_m,w_tr_right_m,w_tr_left_m
-2.66,-6.04,0.425,0.425
-2.71,-6.04,0.425,0.425
-2.76,-6.04,0.425,0.425
-2.81,-6.04,0.425,0.425
-2.86,-5.99,0.475,0.475
-2.91,-5.99,0.475,0.475
-2.96,-5.99,0.4602,0.4602
-3.01,-5.94,0.4792,0.4792
-3.06,-5.94,0.4792,0.4792
-3.11,-5.94,0.4602,0.4602
-3.16,-5.94,0.4451,0.4451
-3.21,-5.89,0.4792,0.4792
-3.26,-5.84,0.5015,0.5015
-3.31,-5.84,0.4935,0.4935
-3.36,-5.84,0.4833,0.4833
-3.41,-5.84,0.4771,0.4771
-3.46,-5.79,0.4602,0.4602
-3.51,-5.79,0.4451,0.4451
-3.56,-5.79,0.434,0.434
-3.61,-5.84,0.4273,0.4273
-3.66,-5.84,0.425,0.425
-3.71,-5.84,0.4135,0.4135
-3.76,-5.79,0.425,0.425
-3.81,-5.79,0.4135,0.4135
-3.86,-5.79,0.397,0.397
-3.91,-5.79,0.3849,0.3849
-3.96,-5.79,0.3775,0.3775
-4.01,-5.79,0.375,0.375
-4.06,-5.79,0.3775,0.3775
-4.11,-5.79,0.3775,0.3775
-4.16,-5.79,0.375,0.375
-4.21,-5.74,0.3674,0.3674
-4.26,-5.74,0.3849,0.3849
-4.31,-5.74,0.3898,0.3898
-4.36,-5.69,0.3674,0.3674
-4.41,-5.69,0.3849,0.3849
-4.46,-5.64,0.3493,0.3493
-4.51,-5.64,0.3674,0.3674
-4.56,-5.59,0.336,0.336
-4.61,-5.59,0.336,0.336
-4.66,-5.54,0.3222,0.3222
-4.71,-5.54,0.3051,0.3051
-4.76,-5.49,0.3222,0.3222
-4.81,-5.49,0.3022,0.3022
-4.86,-5.44,0.3022,0.3022
-4.91,-5.44,0.3022,0.3022
-4.96,-5.44,0.2873,0.2873
-5.01,-5.44,0.2781,0.2781
-5.06,-5.39,0.325,0.325
-5.11,-5.39,0.3222,0.3222
-5.16,-5.39,0.3022,0.3022
-5.21,-5.39,0.2873,0.2873
-5.26,-5.34,0.3278,0.3278
-5.31,-5.34,0.325,0.325
-5.36,-5.34,0.325,0.325
-5.41,-5.34,0.325,0.325
-5.46,-5.34,0.325,0.325
-5.51,-5.34,0.325,0.325
-5.56,-5.34,0.325,0.325
-5.61,-5.34,0.325,0.325
-5.66,-5.34,0.3278,0.3278
-5.71,-5.34,0.325,0.325
-5.76,-5.34,0.3278,0.3278
-5.81,-5.34,0.325,0.325
-5.86,-5.29,0.3775,0.3775
-5.91,-5.29,0.375,0.375
-5.96,-5.24,0.3493,0.3493
-6.01,-5.24,0.3467,0.3467
-6.06,-5.19,0.3222,0.3222
-6.11,-5.14,0.3022,0.3022
-6.16,-5.09,0.2781,0.2781
-6.16,-5.04,0.3022,0.3022
-6.21,-4.99,0.2781,0.2781
-6.26,-4.94,0.2655,0.2655
-6.31,-4.89,0.2558,0.2558
-6.31,-4.84,0.2781,0.2781
-6.36,-4.79,0.2655,0.2655
-6.36,-4.74,0.2781,0.2781
-6.41,-4.69,0.3022,0.3022
-6.41,-4.64,0.2873,0.2873
-6.41,-4.59,0.2781,0.2781
-6.46,-4.54,0.325,0.325
-6.46,-4.49,0.3278,0.3278
-6.51,-4.44,0.375,0.375
-6.56,-4.39,0.425,0.425
-6.61,-4.34,0.4581,0.4581
-6.66,-4.34,0.434,0.434
-6.71,-4.29,0.4581,0.4581
-6.76,-4.24,0.4771,0.4771
-6.81,-4.24,0.4581,0.4581
-6.86,-4.19,0.4792,0.4792
-6.91,-4.14,0.5015,0.5015
-6.96,-4.14,0.4792,0.4792
-7.01,-4.09,0.5015,0.5015
-7.06,-4.04,0.525,0.525
-7.11,-4.04,0.5075,0.5075
-7.16,-3.99,0.5421,0.5421
-7.16,-3.94,0.5909,0.5909
-7.21,-3.89,0.6132,0.6132
-7.21,-3.84,0.5909,0.5909
