# x_m,y_m,w_tr_right_m,w_tr_left_m
1.1700,0.0100,0.4148,0.4148
1.1200,0.0100,0.4148,0.4148
1.0700,0.0600,0.4099,0.4099
1.0200,0.0600,0.4148,0.4148
0.9700,0.0600,0.3924,0.3924
0.9200,0.1100,0.4148,0.4148
0.8700,0.1100,0.4099,0.4099
0.8200,0.1100,0.4025,0.4025
0.7700,0.1100,0.3924,0.3924
0.7200,0.1100,0.3743,0.3743
0.6700,0.1600,0.4099,0.4099
0.6200,0.1600,0.4025,0.4025
0.5700,0.1100,0.3500,0.3500
0.5200,0.1100,0.3500,0.3500
0.4700,0.1100,0.3500,0.3500
0.4200,0.1100,0.3500,0.3500
0.3700,0.1100,0.3500,0.3500
0.3200,0.1100,0.3500,0.3500
0.2700,0.1100,0.3500,0.3500
0.2200,0.0600,0.3000,0.3000
0.1700,0.0600,0.3000,0.3000
0.1200,0.0600,0.3000,0.3000
0.0700,0.0600,0.3000,0.3000
0.0200,0.0600,0.3000,0.3000
-0.0300,0.0600,0.3000,0.3000
-0.0800,0.0600,0.3000,0.3000
-0.1300,0.0600,0.3000,0.3000
-0.1800,0.0600,0.3000,0.3000
-0.2300,0.0100,0.2500,0.2500
-0.2800,0.0100,0.2500,0.2500
-0.3300,0.0100,0.2500,0.2500
-0.3800,0.0100,0.2500,0.2500
-0.4300,0.0100,0.2500,0.2500
-0.4800,0.0100,0.2536,0.2536
-0.5300,0.0100,0.2640,0.2640
-0.5800,0.0100,0.2808,0.2808
-0.6300,0.0100,0.2808,0.2808
-0.6800,0.0100,0.2640,0.2640
-0.7300,-0.0400,0.2808,0.2808
-0.7800,-0.0400,0.3000,0.3000
-0.8300,-0.0400,0.3000,0.3000
-0.8800,-0.0900,0.3243,0.3243
-0.9300,-0.0900,0.3123,0.3123
-0.9800,-0.1400,0.3528,0.3528
-1.0300,-0.1400,0.3472,0.3472
-1.0800,-0.1900,0.3743,0.3743
-1.1300,-0.2400,0.4099,0.4099
-1.1800,-0.2900,0.4385,0.4385
-1.2300,-0.3400,0.4701,0.4701
-1.2800,-0.3900,0.5000,0.5000
-1.3300,-0.4400,0.4500,0.4500
-1.3300,-0.4900,0.4523,0.4523
-1.3300,-0.5400,0.4590,0.4590
-1.3800,-0.5900,0.4220,0.4220
-1.3800,-0.6400,0.4385,0.4385
-1.3800,-0.6900,0.4500,0.4500
-1.3800,-0.7400,0.4500,0.4500
-1.3800,-0.7900,0.4500,0.4500
-1.3800,-0.8400,0.4385,0.4385
-1.4300,-0.8900,0.4000,0.4000
-1.4300,-0.9400,0.4000,0.4000
-1.4300,-0.9900,0.4000,0.4000
-1.4300,-1.0400,0.4025,0.4025
-1.4300,-1.0900,0.4099,0.4099
-1.4300,-1.1400,0.4220,0.4220
-1.4300,-1.1900,0.4385,0.4385
-1.4300,-1.2400,0.4500,0.4500
-1.4300,-1.2900,0.4500,0.4500
-1.4300,-1.3400,0.4500,0.4500
-1.4300,-1.3900,0.4500,0.4500
