# x_m,y_m,w_tr_right_m,w_tr_left_m
-1.47,-1.12,0.6464,0.6464
-1.47,-1.07,0.65,0.65
-1.47,-1.02,0.6518,0.6518
-1.47,-0.97,0.6571,0.6571
-1.47,-0.92,0.6659,0.6659
-1.47,-0.87,0.678,0.678
-1.42,-0.82,0.6882,0.6882
-1.37,-0.77,0.6659,0.6659
-1.32,-0.72,0.6446,0.6446
-1.27,-0.67,0.6208,0.6208
-1.22,-0.62,0.6,0.6
-1.17,-0.57,0.5685,0.5685
-1.12,-0.52,0.5352,0.5352
-1.07,-0.52,0.5201,0.5201
-1.02,-0.47,0.5157,0.5157
-0.97,-0.42,0.509,0.509
-0.92,-0.37,0.4885,0.4885
-0.87,-0.32,0.4648,0.4648
-0.82,-0.32,0.445,0.445
-0.77,-0.27,0.45,0.45
-0.72,-0.22,0.4424,0.4424
-0.67,-0.17,0.4217,0.4217
-0.62,-0.17,0.4217,0.4217
-0.57,-0.12,0.4217,0.4217
-0.52,-0.12,0.4217,0.4217
-0.47,-0.07,0.4217,0.4217
-0.42,-0.07,0.4243,0.4243
-0.37,-0.07,0.411,0.411
-0.32,-0.02,0.4424,0.4424
-0.27,-0.02,0.4243,0.4243
-0.22,-0.02,0.411,0.411
-0.17,-0.02,0.4028,0.4028
-0.12,-0.02,0.4,0.4
-0.07,0.03,0.45,0.45
-0.02,0.03,0.45,0.45
0.03,0.03,0.45,0.45
0.08,0.03,0.45,0.45
0.13,0.08,0.5,0.5
0.18,0.08,0.5023,0.5023
0.23,0.08,0.509,0.509
0.28,0.08,0.5201,0.5201
0.33,0.08,0.5352,0.5352
0.38,0.13,0.6,0.6
0.43,0.13,0.6208,0.6208
0.48,0.13,0.6446,0.6446
0.53,0.13,0.6659,0.6659
0.58,0.13,0.6882,0.6882
0.63,0.13,0.7132,0.7132
0.68,0.13,0.7406,0.7406
0.73,0.13,0.7701,0.7701
0.78,0.13,0.8015,0.8015
0.83,0.13,0.8102,0.8102
0.88,0.08,0.8,0.8
0.93,0.03,0.7776,0.7776
0.93,-0.02,0.7985,0.7985
0.98,-0.07,0.7822,0.7822
0.98,-0.12,0.7701,0.7701
1.03,-0.17,0.7822,0.7822
1.03,-0.22,0.7562,0.7562
1.03,-0.27,0.7326,0.7326
1.08,-0.27,0.7639,0.7639
1.03,-0.32,0.7116,0.7116
1.03,-0.37,0.6882,0.6882
1.03,-0.42,0.6659,0.6659
0.98,-0.47,0.6,0.6
0.98,-0.52,0.5825,0.5825
0.98,-0.57,0.5685,0.5685
0.98,-0.62,0.5583,0.5583
0.98,-0.67,0.5521,0.5521
0.93,-0.72,0.5,0.5
0.93,-0.77,0.5,0.5
0.93,-0.82,0.5,0.5
0.93,-0.87,0.5,0.5
0.93,-0.92,0.5,0.5
0.88,-0.97,0.45,0.45
0.88,-1.02,0.4525,0.4525
0.88,-1.07,0.4599,0.4599
0.88,-1.12,0.472,0.472
0.88,-1.17,0.4885,0.4885
0.88,-1.22,0.472,0.472
0.83,-1.27,0.4908,0.4908
0.83,-1.32,0.5023,0.5023
0.83,-1.37,0.5,0.5
0.83,-1.42,0.5,0.5
0.78,-1.47,0.55,0.55
0.78,-1.52,0.55,0.55
0.78,-1.57,0.5521,0.5521
0.78,-1.62,0.55,0.55
0.73,-1.67,0.6019,0.6019
0.73,-1.72,0.6076,0.6076
0.73,-1.77,0.6171,0.6171
0.68,-1.82,0.65,0.65
0.68,-1.87,0.65,0.65
0.68,-1.92,0.6518,0.6518
0.63,-1.97,0.6,0.6
0.63,-2.02,0.6019,0.6019
0.58,-2.07,0.5583,0.5583
0.53,-2.12,0.5201,0.5201
0.53,-2.17,0.5352,0.5352
0.48,-2.22,0.509,0.509
0.43,-2.27,0.4908,0.4908
0.38,-2.32,0.4815,0.4815
0.33,-2.37,0.4599,0.4599
0.28,-2.42,0.4243,0.4243
0.23,-2.42,0.4424,0.4424
0.18,-2.47,0.4217,0.4217
