# x_m,y_m,w_tr_right_m,w_tr_left_m
5.3200,-3.8900,0.7500,0.7500
5.3700,-3.8400,0.7762,0.7762
5.4200,-3.8400,0.7906,0.7906
5.4700,-3.7900,0.7616,0.7616
5.5200,-3.7900,0.7826,0.7826
5.5700,-3.7900,0.8062,0.8062
5.6200,-3.7400,0.7762,0.7762
5.6700,-3.7400,0.7906,0.7906
5.7200,-3.7400,0.7826,0.7826
5.7700,-3.6900,0.7826,0.7826
5.8200,-3.6900,0.7826,0.7826
5.8700,-3.6900,0.7616,0.7616
5.9200,-3.6400,0.7906,0.7906
5.9700,-3.6400,0.7762,0.7762
6.0200,-3.5900,0.8062,0.8062
6.0700,-3.5400,0.7649,0.7649
6.1200,-3.5400,0.7762,0.7762
6.1700,-3.5400,0.7906,0.7906
6.2200,-3.4900,0.7616,0.7616
6.2700,-3.4900,0.7826,0.7826
6.3200,-3.4400,0.7632,0.7632
6.3700,-3.4400,0.7906,0.7906
6.4200,-3.3900,0.7762,0.7762
6.4700,-3.3400,0.7433,0.7433
6.5200,-3.3400,0.7616,0.7616
6.5700,-3.2900,0.7280,0.7280
6.6200,-3.2400,0.6964,0.6964
6.6700,-3.1900,0.6708,0.6708
6.7200,-3.1900,0.6500,0.6500
6.7700,-3.1400,0.6000,0.6000
6.8200,-3.0900,0.5500,0.5500
6.8200,-3.0400,0.5500,0.5500
6.8700,-2.9900,0.5000,0.5000
6.9200,-2.9400,0.4500,0.4500
6.9200,-2.8900,0.4500,0.4500
6.9200,-2.8400,0.4500,0.4500
6.9700,-2.7900,0.4000,0.4000
6.9700,-2.7400,0.4031,0.4031
7.0200,-2.6900,0.3640,0.3640
7.0200,-2.6400,0.3808,0.3808
7.0700,-2.5900,0.3500,0.3500
7.0700,-2.5400,0.3536,0.3536
7.1200,-2.4900,0.3162,0.3162
7.1700,-2.4400,0.2915,0.2915
7.2200,-2.3900,0.2828,0.2828
7.2700,-2.3400,0.2828,0.2828
7.3200,-2.2900,0.2828,0.2828
7.3700,-2.2400,0.2693,0.2693
7.4200,-2.2400,0.2500,0.2500
7.4700,-2.1900,0.2550,0.2550
7.5200,-2.1900,0.2550,0.2550
7.5700,-2.1900,0.2500,0.2500
7.6200,-2.1400,0.2828,0.2828
7.6700,-2.0900,0.2828,0.2828
7.7200,-2.0900,0.2828,0.2828
7.7700,-2.0400,0.2915,0.2915
7.8200,-1.9900,0.3162,0.3162
7.8700,-1.9400,0.3202,0.3202
7.9200,-1.8900,0.3202,0.3202
7.9700,-1.8400,0.3354,0.3354
8.0200,-1.7900,0.3606,0.3606
8.0700,-1.7400,0.3808,0.3808
8.1200,-1.6900,0.3905,0.3905
8.1700,-1.6400,0.4031,0.4031
8.2200,-1.5900,0.4243,0.4243
8.2700,-1.5400,0.4243,0.4243
8.2700,-1.4900,0.4272,0.4272
8.3200,-1.4400,0.4472,0.4472
8.3700,-1.3900,0.4272,0.4272
8.3700,-1.3400,0.4472,0.4472
8.3700,-1.2900,0.4272,0.4272
8.4200,-1.2400,0.4472,0.4472
8.4700,-1.1900,0.4610,0.4610
8.4700,-1.1400,0.4472,0.4472
8.5200,-1.0900,0.4717,0.4717
8.5200,-1.0400,0.4472,0.4472
8.5700,-0.9900,0.4743,0.4743
8.6200,-0.9400,0.4528,0.4528
8.6200,-0.8900,0.4610,0.4610
8.6700,-0.8400,0.4272,0.4272
8.6700,-0.7900,0.4472,0.4472
8.6700,-0.7400,0.4472,0.4472
8.6700,-0.6900,0.4272,0.4272
8.7200,-0.6400,0.4610,0.4610
8.7700,-0.5900,0.4717,0.4717
8.7700,-0.5400,0.4472,0.4472
8.8200,-0.4900,0.4717,0.4717
8.8700,-0.4400,0.4500,0.4500
8.8700,-0.3900,0.4500,0.4500
8.9200,-0.3400,0.4000,0.4000
8.9200,-0.2900,0.4000,0.4000
8.9200,-0.2400,0.4000,0.4000
8.9200,-0.1900,0.4000,0.4000
8.9200,-0.1400,0.4000,0.4000
8.9200,-0.0900,0.3808,0.3808
8.9200,-0.0400,0.3640,0.3640
8.9200,0.0100,0.3536,0.3536
8.9200,0.0600,0.3500,0.3500
8.9200,0.1100,0.3500,0.3500
8.9200,0.1600,0.3500,0.3500
8.9200,0.2100,0.3500,0.3500
8.9200,0.2600,0.3500,0.3500
8.9200,0.3100,0.3500,0.3500
8.8700,0.3600,0.3000,0.3000
8.8700,0.4100,0.3000,0.3000
8.8700,0.4600,0.3000,0.3000
8.8700,0.5100,0.3000,0.3000
8.8700,0.5600,0.3000,0.3000
8.8700,0.6100,0.3000,0.3000
8.8700,0.6600,0.3041,0.3041
8.8700,0.7100,0.3162,0.3162
8.8700,0.7600,0.3041,0.3041
8.8700,0.8100,0.3000,0.3000
8.8200,0.8600,0.3162,0.3162
8.8200,0.9100,0.3354,0.3354
8.8200,0.9600,0.3354,0.3354
8.7700,1.0100,0.3000,0.3000
8.7700,1.0600,0.3041,0.3041
8.7700,1.1100,0.3162,0.3162
8.7200,1.1600,0.2915,0.2915
8.7200,1.2100,0.3202,0.3202
8.7200,1.2600,0.3162,0.3162
8.6700,1.3100,0.3354,0.3354
8.6200,1.3600,0.3536,0.3536
8.6200,1.4100,0.3536,0.3536
8.5700,1.4600,0.3808,0.3808
8.5200,1.5100,0.4031,0.4031
8.4700,1.5600,0.4243,0.4243
8.4200,1.6100,0.4301,0.4301
8.3700,1.6100,0.4272,0.4272
8.3200,1.6600,0.4472,0.4472
8.2700,1.7100,0.4743,0.4743
8.2200,1.7600,0.5099,0.5099
8.1700,1.7600,0.5025,0.5025
8.1200,1.8100,0.5500,0.5500
8.0700,1.8100,0.5385,0.5385
8.0200,1.8600,0.5590,0.5590
7.9700,1.8600,0.5385,0.5385
7.9200,1.9100,0.5701,0.5701
7.8700,1.9100,0.5590,0.5590
7.8200,1.9600,0.6021,0.6021
7.7700,1.9600,0.6000,0.6000
7.7200,1.9600,0.5852,0.5852
7.6700,2.0100,0.6000,0.6000
7.6200,2.0100,0.6000,0.6000
7.5700,1.9600,0.5523,0.5523
7.5200,1.9600,0.5500,0.5500
7.4700,1.9600,0.5500,0.5500
7.4200,1.9600,0.5500,0.5500
7.3700,1.9600,0.5500,0.5500
