# x_m,y_m,w_tr_right_m,w_tr_left_m
5.57,-1.84,0.85,0.85
5.57,-1.89,0.8513,0.8513
5.57,-1.94,0.8552,0.8552
5.62,-1.94,0.8823,0.8823
5.52,-1.99,0.8124,0.8124
5.47,-2.04,0.7559,0.7559
5.42,-2.09,0.7016,0.7016
5.37,-2.14,0.65,0.65
5.32,-2.19,0.6,0.6
5.27,-2.24,0.5519,0.5519
5.22,-2.24,0.5576,0.5576
5.17,-2.29,0.5185,0.5185
5.12,-2.29,0.5325,0.5325
5.07,-2.34,0.5,0.5
5.02,-2.39,0.4523,0.4523
4.97,-2.39,0.459,0.459
4.92,-2.44,0.422,0.422
4.87,-2.44,0.4385,0.4385
4.82,-2.44,0.4523,0.4523
4.77,-2.49,0.4099,0.4099
4.72,-2.49,0.422,0.422
4.67,-2.49,0.4148,0.4148
4.62,-2.54,0.4025,0.4025
4.57,-2.54,0.4099,0.4099
4.52,-2.54,0.4099,0.4099
4.47,-2.54,0.4025,0.4025
4.42,-2.59,0.4148,0.4148
4.37,-2.59,0.4385,0.4385
4.32,-2.59,0.4148,0.4148
4.27,-2.64,0.422,0.422
4.22,-2.64,0.422,0.422
4.17,-2.69,0.4148,0.4148
4.12,-2.69,0.4385,0.4385
4.07,-2.69,0.4148,0.4148
4.02,-2.74,0.4385,0.4385
3.97,-2.79,0.4099,0.4099
3.92,-2.79,0.422,0.422
3.87,-2.79,0.4315,0.4315
3.82,-2.84,0.4099,0.4099
3.77,-2.84,0.4148,0.4148
3.72,-2.89,0.3924,0.3924
3.67,-2.94,0.3717,0.3717
3.62,-2.94,0.4,0.4
3.57,-2.99,0.3924,0.3924
3.52,-2.99,0.395,0.395
3.47,-3.04,0.4,0.4
3.42,-3.09,0.395,0.395
3.37,-3.14,0.4,0.4
3.32,-3.19,0.395,0.395
3.27,-3.24,0.3924,0.3924
3.27,-3.29,0.395,0.395
3.22,-3.34,0.395,0.395
3.17,-3.39,0.395,0.395
3.12,-3.44,0.4,0.4
3.07,-3.49,0.395,0.395
3.07,-3.54,0.4,0.4
3.02,-3.59,0.4148,0.4148
2.97,-3.64,0.4315,0.4315
2.92,-3.69,0.4148,0.4148
2.87,-3.69,0.4148,0.4148
2.82,-3.74,0.4315,0.4315
2.77,-3.79,0.4148,0.4148
2.72,-3.79,0.4148,0.4148
2.67,-3.84,0.4148,0.4148
2.62,-3.84,0.4148,0.4148
2.57,-3.89,0.4315,0.4315
2.52,-3.94,0.4315,0.4315
2.47,-3.94,0.4148,0.4148
2.42,-3.99,0.4385,0.4385
2.37,-4.04,0.422,0.422
2.32,-4.04,0.4385,0.4385
2.27,-4.04,0.4385,0.4385
2.22,-4.09,0.4,0.4
2.17,-4.09,0.4025,0.4025
2.12,-4.09,0.4099,0.4099
2.07,-4.09,0.422,0.422
2.02,-4.09,0.4099,0.4099
1.97,-4.14,0.4,0.4
1.92,-4.14,0.4,0.4
1.87,-4.14,0.4,0.4
1.82,-4.14,0.4,0.4
1.77,-4.14,0.4025,0.4025
1.72,-4.14,0.4,0.4
1.67,-4.14,0.4,0.4
1.62,-4.14,0.3924,0.3924
1.57,-4.19,0.4,0.4
1.52,-4.19,0.4,0.4
1.47,-4.19,0.4025,0.4025
1.42,-4.19,0.4,0.4
1.37,-4.19,0.4025,0.4025
1.32,-4.19,0.4,0.4
1.27,-4.24,0.4,0.4
1.22,-4.24,0.4,0.4
1.17,-4.24,0.4025,0.4025
1.12,-4.24,0.4099,0.4099
1.07,-4.24,0.422,0.422
1.02,-4.24,0.4385,0.4385
0.97,-4.24,0.45,0.45
0.92,-4.24,0.4523,0.4523
0.87,-4.24,0.459,0.459
0.82,-4.24,0.4701,0.4701
0.77,-4.24,0.4852,0.4852
0.72,-4.24,0.5,0.5
0.67,-4.24,0.5021,0.5021
0.62,-4.24,0.5083,0.5083
0.57,-4.24,0.5185,0.5185
0.52,-4.24,0.5325,0.5325
0.47,-4.29,0.5185,0.5185
0.42,-4.29,0.5325,0.5325
0.37,-4.29,0.5325,0.5325
0.32,-4.29,0.5185,0.5185
0.27,-4.34,0.5185,0.5185
0.22,-4.34,0.5325,0.5325
0.17,-4.34,0.55,0.55
0.12,-4.34,0.55,0.55
0.07,-4.39,0.5325,0.5325
0.02,-4.39,0.55,0.55
-0.03,-4.39,0.5576,0.5576
-0.08,-4.39,0.5519,0.5519
-0.13,-4.39,0.55,0.55
-0.18,-4.39,0.55,0.55
-0.23,-4.39,0.5519,0.5519
-0.28,-4.39,0.5576,0.5576
-0.33,-4.39,0.5671,0.5671
-0.38,-4.39,0.5708,0.5708
-0.43,-4.34,0.55,0.55
-0.48,-4.34,0.5671,0.5671
-0.53,-4.34,0.5519,0.5519
-0.58,-4.29,0.55,0.55
-0.63,-4.29,0.55,0.55
-0.68,-4.24,0.5519,0.5519
-0.73,-4.24,0.5671,0.5671
-0.78,-4.24,0.55,0.55
-0.83,-4.19,0.5708,0.5708
-0.88,-4.14,0.5671,0.5671
-0.93,-4.09,0.5325,0.5325
-0.98,-4.04,0.5042,0.5042
-1.03,-3.99,0.4701,0.4701
-1.03,-3.94,0.4852,0.4852
-1.03,-3.89,0.5042,0.5042
-1.08,-3.84,0.4831,0.4831
-1.08,-3.79,0.5042,0.5042
-1.08,-3.74,0.5042,0.5042
-1.13,-3.69,0.5042,0.5042
-1.13,-3.64,0.5042,0.5042
-1.18,-3.59,0.4852,0.4852
-1.18,-3.54,0.5042,0.5042
-1.23,-3.49,0.4831,0.4831
-1.23,-3.44,0.5042,0.5042
-1.23,-3.39,0.5083,0.5083
-1.23,-3.34,0.5021,0.5021
-1.23,-3.29,0.5,0.5
-1.23,-3.24,0.5,0.5
-1.28,-3.19,0.55,0.55
-1.28,-3.14,0.55,0.55
-1.28,-3.09,0.55,0.55
-1.33,-3.04,0.55,0.55
-1.33,-2.99,0.5576,0.5576
-1.33,-2.94,0.5671,0.5671
-1.33,-2.89,0.5671,0.5671
-1.33,-2.84,0.5576,0.5576
-1.38,-2.79,0.5576,0.5576
-1.38,-2.74,0.5671,0.5671
-1.38,-2.69,0.5801,0.5801
-1.38,-2.64,0.5671,0.5671
-1.38,-2.59,0.5576,0.5576
-1.38,-2.54,0.5519,0.5519
