# x_m,y_m,w_tr_right_m,w_tr_left_m
1.3516,4.011,0.4583,0.4583
1.3516,3.961,0.4521,0.4521
1.3016,3.911,0.4685,0.4685
1.3016,3.861,0.4825,0.4825
1.3016,3.811,0.4825,0.4825
1.3016,3.761,0.4685,0.4685
1.3016,3.711,0.4583,0.4583
1.2516,3.661,0.5019,0.5019
1.2516,3.611,0.5,0.5
1.2516,3.561,0.5019,0.5019
1.2516,3.511,0.5,0.5
1.2516,3.461,0.5019,0.5019
1.2016,3.411,0.5571,0.5571
1.2016,3.361,0.5659,0.5659
1.2016,3.311,0.578,0.578
1.2016,3.261,0.5933,0.5933
1.2016,3.211,0.6017,0.6017
1.2016,3.161,0.6066,0.6066
1.2516,3.111,0.5659,0.5659
1.3016,3.061,0.5301,0.5301
1.3016,3.011,0.5446,0.5446
1.3516,2.961,0.5208,0.5208
1.4016,2.911,0.5019,0.5019
1.4516,2.861,0.4903,0.4903
1.5016,2.811,0.4864,0.4864
1.5516,2.761,0.4864,0.4864
1.6016,2.711,0.4864,0.4864
1.6516,2.661,0.4864,0.4864
1.7016,2.611,0.4864,0.4864
1.7516,2.561,0.4864,0.4864
1.8016,2.511,0.4765,0.4765
1.8516,2.511,0.4765,0.4765
1.9016,2.461,0.4903,0.4903
1.9516,2.461,0.4825,0.4825
2.0016,2.461,0.4685,0.4685
2.0516,2.411,0.5076,0.5076
2.1016,2.411,0.5019,0.5019
2.1516,2.411,0.5,0.5
2.2016,2.361,0.55,0.55
2.2516,2.361,0.55,0.55
2.3016,2.361,0.55,0.55
2.3516,2.311,0.6,0.6
2.4016,2.311,0.6,0.6
2.4516,2.311,0.6017,0.6017
2.5016,2.311,0.6066,0.6066
2.5516,2.361,0.5659,0.5659
2.6016,2.361,0.578,0.578
2.6516,2.411,0.5464,0.5464
2.7016,2.411,0.5659,0.5659
2.7516,2.461,0.5446,0.5446
2.8016,2.511,0.5208,0.5208
2.8516,2.561,0.5019,0.5019
2.9016,2.611,0.4903,0.4903
2.9516,2.661,0.4864,0.4864
3.0016,2.711,0.4825,0.4825
3.0516,2.761,0.4521,0.4521
3.0516,2.811,0.4583,0.4583
3.1016,2.861,0.4201,0.4201
3.1016,2.911,0.4352,0.4352
3.1016,2.961,0.4331,0.4331
3.1516,3.011,0.4,0.4
3.1516,3.061,0.4,0.4
3.1516,3.111,0.4023,0.4023
3.1516,3.161,0.409,0.409
3.1516,3.211,0.4023,0.4023
3.1516,3.261,0.4,0.4
3.1516,3.311,0.4,0.4
