# x_m,y_m,w_tr_right_m,w_tr_left_m
3.1,0.17,0.4701,0.4701
3.15,0.12,0.4385,0.4385
3.2,0.07,0.4148,0.4148
3.25,0.07,0.4148,0.4148
3.3,0.02,0.4,0.4
3.35,-0.03,0.3924,0.3924
3.4,-0.08,0.3717,0.3717
3.45,-0.08,0.361,0.361
3.5,-0.13,0.3717,0.3717
3.55,-0.18,0.361,0.361
3.6,-0.18,0.3717,0.3717
3.65,-0.23,0.3528,0.3528
3.7,-0.23,0.361,0.361
3.75,-0.23,0.361,0.361
3.8,-0.28,0.3472,0.3472
3.85,-0.28,0.35,0.35
3.9,-0.28,0.3528,0.3528
3.95,-0.28,0.361,0.361
4,-0.28,0.3743,0.3743
4.05,-0.28,0.3924,0.3924
4.1,-0.28,0.4,0.4
4.15,-0.28,0.4,0.4
4.2,-0.33,0.4025,0.4025
4.25,-0.33,0.4099,0.4099
4.3,-0.33,0.422,0.422
4.35,-0.38,0.3924,0.3924
4.4,-0.38,0.4099,0.4099
4.45,-0.38,0.4148,0.4148
4.5,-0.38,0.3924,0.3924
4.55,-0.33,0.4025,0.4025
4.6,-0.33,0.4,0.4
4.65,-0.33,0.3924,0.3924
4.7,-0.33,0.3743,0.3743
4.75,-0.33,0.361,0.361
4.8,-0.33,0.3528,0.3528
4.85,-0.33,0.35,0.35
4.9,-0.33,0.35,0.35
4.95,-0.33,0.35,0.35
5,-0.33,0.35,0.35
5.05,-0.28,0.3743,0.3743
5.1,-0.28,0.3924,0.3924
5.15,-0.28,0.4,0.4
5.2,-0.28,0.4,0.4
5.25,-0.28,0.4,0.4
5.3,-0.33,0.35,0.35
5.35,-0.33,0.3528,0.3528
5.4,-0.33,0.361,0.361
5.45,-0.38,0.3272,0.3272
5.5,-0.38,0.3472,0.3472
5.55,-0.43,0.3272,0.3272
5.6,-0.43,0.3301,0.3301
5.65,-0.48,0.3272,0.3272
5.7,-0.48,0.3272,0.3272
5.75,-0.53,0.3301,0.3301
5.8,-0.53,0.3272,0.3272
5.85,-0.58,0.3472,0.3472
5.9,-0.58,0.3472,0.3472
5.95,-0.63,0.3472,0.3472
6,-0.63,0.3472,0.3472
6.05,-0.68,0.361,0.361
6.1,-0.68,0.361,0.361
6.15,-0.73,0.395,0.395
6.2,-0.73,0.3924,0.3924
6.25,-0.78,0.4148,0.4148
6.3,-0.78,0.4099,0.4099
6.35,-0.83,0.4315,0.4315
6.4,-0.83,0.4385,0.4385
6.45,-0.88,0.459,0.459
6.5,-0.88,0.459,0.459
6.55,-0.88,0.4523,0.4523
6.6,-0.93,0.5,0.5
6.65,-0.98,0.5021,0.5021
6.7,-1.03,0.4831,0.4831
6.75,-1.08,0.4701,0.4701
6.8,-1.13,0.4657,0.4657
6.85,-1.18,0.4657,0.4657
6.9,-1.23,0.4657,0.4657
6.95,-1.28,0.4657,0.4657
7,-1.33,0.459,0.459
7.05,-1.38,0.4408,0.4408
7.1,-1.38,0.459,0.459
7.15,-1.43,0.459,0.459
7.2,-1.48,0.4385,0.4385
7.25,-1.48,0.459,0.459
7.3,-1.53,0.4385,0.4385
7.35,-1.53,0.459,0.459
7.4,-1.53,0.4385,0.4385
7.45,-1.58,0.4385,0.4385
7.5,-1.58,0.4385,0.4385
7.55,-1.58,0.422,0.422
7.6,-1.58,0.4099,0.4099
7.65,-1.58,0.4025,0.4025
7.7,-1.58,0.4,0.4
7.75,-1.58,0.4,0.4
7.8,-1.58,0.4,0.4
7.85,-1.53,0.4385,0.4385
7.9,-1.53,0.45,0.45
7.95,-1.53,0.4385,0.4385
8,-1.53,0.422,0.422
8.05,-1.53,0.4099,0.4099
8.1,-1.48,0.4385,0.4385
8.15,-1.48,0.45,0.45
8.2,-1.48,0.45,0.45
8.25,-1.48,0.45,0.45
8.3,-1.48,0.45,0.45
8.35,-1.43,0.4852,0.4852
8.4,-1.43,0.4701,0.4701
8.45,-1.38,0.5083,0.5083
8.5,-1.33,0.5364,0.5364
8.55,-1.28,0.5364,0.5364
