# x_m,y_m,w_tr_right_m,w_tr_left_m
-0.2400,-2.5200,0.4000,0.4000
-0.2900,-2.5200,0.4000,0.4000
-0.3400,-2.5200,0.4000,0.4000
-0.3900,-2.5200,0.3808,0.3808
-0.4400,-2.4700,0.3640,0.3640
-0.4900,-2.4700,0.3808,0.3808
-0.5400,-2.4700,0.4000,0.4000
-0.5900,-2.4700,0.3808,0.3808
-0.6400,-2.4200,0.4031,0.4031
-0.6900,-2.4200,0.3808,0.3808
-0.7400,-2.3700,0.4123,0.4123
-0.7900,-2.3200,0.4472,0.4472
-0.8400,-2.3200,0.4272,0.4272
-0.8900,-2.2700,0.4610,0.4610
-0.9400,-2.2200,0.4924,0.4924
-0.9900,-2.2200,0.4717,0.4717
-1.0400,-2.1700,0.4924,0.4924
-1.0900,-2.1200,0.5148,0.5148
-1.0900,-2.0700,0.5148,0.5148
-1.1400,-2.0200,0.5315,0.5315
-1.1900,-1.9700,0.5315,0.5315
-1.2400,-1.9200,0.5220,0.5220
-1.2900,-1.8700,0.4924,0.4924
-1.3400,-1.8200,0.4717,0.4717
-1.3400,-1.7700,0.4924,0.4924
-1.3400,-1.7200,0.5148,0.5148
-1.3400,-1.6700,0.4924,0.4924
-1.3400,-1.6200,0.4743,0.4743
-1.3400,-1.5700,0.4610,0.4610
-1.3900,-1.5200,0.5025,0.5025
-1.3900,-1.4700,0.5000,0.5000
-1.3900,-1.4200,0.5000,0.5000
-1.3900,-1.3700,0.5000,0.5000
-1.4400,-1.3200,0.5500,0.5500
-1.4400,-1.2700,0.5500,0.5500
-1.4400,-1.2200,0.5500,0.5500
-1.4400,-1.1700,0.5500,0.5500
-1.4400,-1.1200,0.5500,0.5500
-1.4400,-1.0700,0.5500,0.5500
-1.3900,-1.0200,0.5000,0.5000
-1.3900,-0.9700,0.5000,0.5000
-1.3900,-0.9200,0.5000,0.5000
-1.3900,-0.8700,0.5000,0.5000
-1.3400,-0.8200,0.4528,0.4528
-1.3400,-0.7700,0.4610,0.4610
-1.3400,-0.7200,0.4743,0.4743
-1.3400,-0.6700,0.4924,0.4924
-1.3400,-0.6200,0.4924,0.4924
-1.3400,-0.5700,0.4717,0.4717
-1.2900,-0.5200,0.4924,0.4924
-1.2900,-0.4700,0.4743,0.4743
